"season","week","team","SIC"
2022,17,"MIN",90
2022,17,"NYJ",87.5
2022,17,"PIT",91.3
2022,17,"BUF",84.2
2022,18,"TEN",65.4
2022,18,"KC",93
2022,18,"TB",82.8
2022,18,"NE",89.6
2022,18,"HOU",82.7
2022,18,"MIN",87.3
2022,18,"NYJ",81.4
2022,18,"CLE",80.6
2022,18,"CAR",85.6
2022,18,"BAL",79.7
2022,18,"NYG",82
2022,18,"ARI",62
2022,18,"DAL",86.4
2022,18,"LAC",83
2022,18,"LA",67.6
2022,18,"DET",85.9
2022,19,"SEA",89.6
2022,19,"LAC",84.5
2022,19,"MIA",76
2022,19,"NYG",86.4
2022,19,"BAL",82.7
2022,19,"DAL",86.6
2022,20,"JAX",88.3
2022,20,"NYG",85.2
2022,20,"CIN",84.5
2022,20,"DAL",84.2
2022,21,"SF",88.8
2022,21,"CIN",83.8
2022,22,"KC",89.6
2021,1,"DAL",77.3
2021,1,"JAX",89.7
2021,1,"LAC",88.4
2021,1,"SEA",92.2
2021,1,"NYJ",75.2
2021,1,"MIN",84.2
2021,1,"ARI",93.1
2021,1,"SF",80
2021,1,"PIT",86
2021,1,"PHI",88.9
2021,1,"CLE",90.4
2021,1,"GB",90.4
2021,1,"DEN",93
2021,1,"MIA",91
2021,1,"CHI",77.3
2021,1,"BAL",71.2
2021,2,"NYG",85.9
2021,2,"LV",84.8
2021,2,"CIN",83.5
2021,2,"HOU",88.3
2021,2,"LA",91.1
2021,2,"BUF",89.6
2021,2,"NE",85.1
2021,2,"SF",69.5
2021,2,"NO",83.6
2021,2,"DEN",86
2021,2,"MIN",82.7
2021,2,"ATL",92.3
2021,2,"DAL",69.4
2021,2,"TEN",87.6
2021,2,"KC",90.8
2021,2,"DET",86.2
2021,3,"CAR",92.3
2021,3,"IND",80.2
2021,3,"ATL",89.4
2021,3,"LAC",86.5
2021,3,"CIN",80.1
2021,3,"CHI",76.9
2021,3,"BAL",70
2021,3,"NO",86
2021,3,"ARI",91.2
